Place URL,Place Name,Star Rating,Number of Ratings,Place Type,Cost (if applicable),Address,Number,Availability
https://www.facebook.com/nvspine/,Nevada Spine Institute,4.6,9,Doctor,,"1485 W Warm Springs Rd, Ste 103, Henderson, Nevada",+1 702-450-0990,Opens Monday
https://www.facebook.com/nnchiro/,Northern Nevada Chiropractic,5.0,25,Chiropractor,,"5301 Longley Ln, Ste 43, Reno, Nevada",+1 775-829-8686,Opens Monday
https://www.facebook.com/pages/Chiropractic-Nevada/175357729160125,Chiropractic Nevada,4.9,17,Chiropractor,,"1928 E Sahara Ave, Las Vegas, Nevada",+1 702-457-4727,
https://www.facebook.com/Serenity-Spinal-Care-312603154324/,Serenity Spinal Care,4.9,27,Chiropractor,,"9330 W Flamingo Rd, Ste 112A",+1 702-932-6100,Opens Tuesday
https://www.facebook.com/Galvin-Chiropractic-164987824661/,Galvin Chiropractic,4.9,21,Chiropractor,$,"7380 S Eastern Ave, Ste 125",+1 702-562-2202,Opens Monday
https://www.facebook.com/Health-FIRST-Chiropractic-146670472142882/,Health FIRST Chiropractic,4.8,18,Chiropractor,,"2654 W Horizon Ridge Pkwy, Ste B1",+1 702-458-4744,Opens Monday
https://www.facebook.com/SilveradoChiropractic/,Silverado Chiropractic and Massage,4.9,23,Chiropractor,,"9775 S Maryland Pkwy, Ste A",+1 702-837-0392,Opens Monday
https://www.facebook.com/theneckandbackclinicsnortheast/,The Neck and Back Clinics - Northeast Las Vegas,4.7,23,Chiropractor,,"2425 N Lamb Blvd Ste 100, Las Vegas, Nevada",+1 702-644-9155,
https://www.facebook.com/michelsspine/,Michels Spine Rehabilitation Center,5.0,9,Chiropractor,,"2626 S Rainbow Blvd, Ste 107, Las Vegas, Nevada",+1 702-675-4500,Opens Monday
https://www.facebook.com/The-Pain-Clinic-Inc-442043092483375/,The Pain Clinic Inc.,5.0,24,Chiropractor,$$,5445 W Sahara Ave,+1 702-368-0508,
https://www.facebook.com/AdvancedSpineandPosture/,Advanced Spine and Posture,5.0,59,Chiropractor,,6592 N Decatur Blvd,+1 702-396-4993,Opens Monday
https://www.facebook.com/Red-Rock-Chiropractic-Wellness-Center-191344610880847/,Red Rock Chiropractic & Wellness Center,4.8,28,Chiropractor,,"2085 Village Center Cir, Ste 110",+1 702-880-5335,
https://www.facebook.com/RenoSparksChiro/,Family First Chiropractic,4.9,53,Chiropractor,$$,"2155 Green Vista Dr Ste 202 Or 9476 Double R Blvd, Suite A",Opens tomorrow,
https://www.facebook.com/thestretchdoc/,The Stretch Doc,5.0,14,Chiropractor,$$,6985 W. Sahara Ave.,+1 702-465-1733,Opens tomorrow
https://www.facebook.com/TropicanaWestChiropractic/,Tropicana West Chiropractic,4.9,41,Chiropractor,,"6819 W Tropicana Ave, Ste 100",+1 702-364-5130,Opens Monday
https://www.facebook.com/Delacruzwellness/,Delacruz Wellness PLLC,5.0,27,Chiropractor,$$,"140 W Huffaker Ln, # 504",+1 775-313-5494,Opens tomorrow
